編號,單位,縣市,行政區,行政區域代碼,地址,備註
R01,中華汽車社子服務廠,臺北市,士林區,63000110,臺北市士林區延平北路6段434號,中華汽車服務廠
R02,中華汽車內湖1服務廠,臺北市,內湖區,63000100,臺北市內湖區內湖路一段411巷56號,中華汽車服務廠
R03,中華汽車北投服務廠,臺北市,北投區,63000120,臺北市北投區大業路262號,中華汽車服務廠
R04,中華汽車南港服務廠,臺北市,南港區,63000090,臺北市南港區成功路一段36巷20號,中華汽車服務廠
P1-01,福林公園地下停車場,臺北市,士林區,63000110,臺北市士林區中正路17號,公有停車場
P1-02,文昌國小地下停車場,臺北市,士林區,63000110,臺北市士林區文林路615巷20號地下,公有停車場
P1-03,社子國小地下停車場,臺北市,士林區,63000110,臺北市士林區延平北路6段308號地下,公有停車場
P1-04,承德公園地下停車場,臺北市,士林區,63000110,臺北市士林區基河路150號,公有停車場
P1-05,啟聰學校地下停車場,臺北市,大同區,63000060,臺北市大同區延平北路4段205號,公有停車場
P1-06,建成公園地下停車場,臺北市,大同區,63000060,臺北市大同區承德路2段31號,公有停車場
P1-07,建成國中地下停車場,臺北市,大同區,63000060,臺北市大同區長安西路37號之1,公有停車場
P1-08,大龍國小地下停車場,臺北市,大同區,63000060,臺北市大同區哈密街47號,公有停車場
P1-09,蓬萊國小地下停車場,臺北市,大同區,63000060,臺北市大同區寧夏路35號,公有停車場
P1-10,龍門國中地下停車場,臺北市,大安區,63000030,臺北市大安區建國南路2段269號地下停車場,公有停車場
P1-11,大安森林公園地下停車場,臺北市,大安區,63000030,臺北市大安區建國南路2段2號,公有停車場
P1-12,嘉興公園地下停車場,臺北市,大安區,63000030,臺北市大安區嘉興街373號,公有停車場
P1-13,永盛公園地下停車場,臺北市,中山區,63000040,臺北市中山區中山北路2段93巷30號,公有停車場
P1-14,長安國小地下停車場,臺北市,中山區,63000040,臺北市中山區松江路90巷14號B1樓,公有停車場
P1-15,榮星花園地下停車場,臺北市,中山區,63000040,臺北市中山區建國北路3段39號,公有停車場
P1-16,濱江國中地下停車場,臺北市,中山區,63000040,臺北市中山區樂群2路266巷1號地下停車場,公有停車場
P1-17,大湖公園地下停車場,臺北市,內湖區,63000100,臺北市內湖區成功路5段7號,公有停車場
P1-18,東湖國小地下停車場,臺北市,內湖區,63000100,臺北市內湖區東湖路115號地下停車場,公有停車場
P1-19,康樂合署大樓地下停車場,臺北市,內湖區,63000100,臺北市內湖區康樂街150號,公有停車場
P1-20,永建國小地下停車場,臺北市,文山區,63000080,臺北市文山區木柵路1段311巷1號,公有停車場
P1-21,興隆公園地下停車場,臺北市,文山區,63000080,臺北市文山區仙岩路128號,公有停車場
P1-22,萬興國小地下停車場,臺北市,文山區,63000080,臺北市文山區秀明路2段116號,公有停車場
