"administrative district","charging station name","location address","station type","operational status","fee applicable （yes/no）","open to public（yes/no）","plug type","connector count"
"三峽區","巴黎花都社區","新北市三峽區學成路265號","社區大樓","良好","Y","N","充電箱","4"
"蘆洲區","知森堂社區","新北市蘆洲區光榮路120巷8弄33號","社區大樓","良好","Y","N","無","1"
"新莊區","都市特區","新北市新莊區中平路270號7弄12號8樓","社區大樓","良好","Y","N","充電箱","5"
"新莊區","歐洲之星社區","新北市新莊區中原路193-203號","社區大樓","良好","Y","N","充電箱","2"
"新莊區","峰景鳳翔社區管理委員會","新北市新莊區中正路７０６號１樓","社區大樓","良好","Y","N","充電箱","4"
"樹林區","愛在歐洲社區","新北市樹林區大成路20-1號","社區大樓","良好","Y","N","充電箱","5"
"中和區","泰和園","新北市中和區泰和街1號","社區大樓","良好","Y","N","充電箱","1"
"樹林區","遠雄紫京城社區","新北市樹林區學勤路500號","社區大樓","良好","Y","N","無","2"
"五股區","五股區公所","新北市五股區中興路四段50號","公務機關-區公所","良好","N","Y","充電箱","2"
"石門區","石門區公所","新北市石門區中山路66號(石門區公所)","公務機關-區公所","良好","N","Y","充電座","6"
"貢寮區","貢寮區公所","新北市貢寮區朝陽街54號","公務機關-區公所","良好","N","Y","插頭式","2"
"新莊區","新莊區公所","新北市新莊區中正路176號","公務機關-區公所","良好","N","N","充電箱","4"
"萬里區","萬里區公所","新北市萬里區瑪鋉路123號","公務機關-區公所","良好","N","Y","充電箱","2"
"中和區","中和區公所","新北市中和區景平路634之2號","公務機關-區公所","良好","N","Y","充電箱","2"
"新店區","新店區公所","新北市新店區北新路一段80號","公務機關-區公所","良好","N","Y","充電座","8"
"板橋區","板橋區公所","新北市板橋區府中路30號","公務機關-區公所","良好","N","Y","插頭式","2"
"瑞芳區","瑞芳區公所","新北市瑞芳區逢甲路82號","公務機關-區公所","良好","N","Y","插頭式","1"
"樹林區","樹林區公所","新北市樹林區鎮前街93號","公務機關-區公所","良好","N","Y","充電箱","2"
"三峽區","三峽區公所","新北市三峽區中山路17號","公務機關-區公所","良好","N","Y","充電箱","2"
"永和區","永和區公所","新北市永和區竹林路200號","公務機關-區公所","良好","N","Y","充電箱","2"
"汐止區","汐止區公所","新北市汐止區新台五路1段268號","公務機關-區公所","良好","N","Y","充電箱","2"
"深坑區","深坑區公所","新北市深坑區深坑街10號","公務機關-區公所","良好","N","Y","充電箱","2"
"八里區","八里區公所","新北市八里區中山路2段356巷16號","公務機關-區公所","良好","N","Y","充電箱","2"
"林口區","林口區公所","新北市林口區仁愛路1段378號","公務機關-區公所","良好","N","Y","充電箱","2"
"泰山區","泰山區公所","新北市泰山區明志路1段322號","公務機關-區公所","良好","N","Y","充電箱","2"
"鶯歌區","鶯歌區公所","新北市鶯歌區仁愛路55號","公務機關-區公所","良好","N","Y","充電箱","4"
"金山區","金山區公所","新北市金山區金美里中正路11號","公務機關-區公所","良好","N","Y","充電箱","2"
"石碇區","石碇區公所","新北市石碇區石崁路25號","公務機關-區公所","良好","N","Y","充電箱","2"
"新莊區","新莊地政事務所","新北市新莊區中華路一段3號","公務機關-地政","良好","N","Y","插頭式","2"
"三峽區","三峽區清潔隊","新北市三峽區隆恩街243號","公務機關-環保局","良好","N","Y","充電座","6"
