"sta","dis","add","das","fee","sty","number"
"十三行博物館","八里區","新北市八里區博物館路200號","公務機關-其他","N","80A","2"
"八里第一立體停車場","八里區","新北市八里區舊城路12號","公有停車場","N","80A","2"
"八里永續教育中心","八里區","新北市八里區觀海大道36號","公務機關-其他","N","80A","2"
"三芝中正立體停車場","三芝區","新北市三芝區中山路二段48-1號","公有停車場","N","80A","2"
"三芝遊客中心","三芝區","新北市三芝區埔頭坑164之2號","公務機關-其他","N","80A","2"
"新北正義國小停車場","三重區","新北市三重區信義西街31號","公有停車場","N","80A","2"
"三重中山立體停車場","三重區","新北市三重區新北大道一段7號","公有停車場","N","80A","4"
"三重三張地下停車場","三重區","新北市三重區大智路188號","公有停車場","N","80A","2"
"三重溪美立體停車場","三重區","新北市三重區自強路四段55號","公有停車場","N","80A","2"
"三重玫瑰平面停車場","三重區","新北市三重區集美街57號","公有停車場","N","80A","2"
"二重國中地下停車場","三重區","新北市三重區忠孝路三段89號B2","公有停車場","N","80A","4"
"三重厚德國小停車場","三重區","新北市三重區忠孝路一段70號","公有停車場","N","32A","2"
"三重碧華國小停車場","三重區","新北市三重區五華街160號","公有停車場","N","32A","2"
"三重五常停車場","三重區","新北市三重區五華街7巷30號B1","公有停車場","N","32A","2"
"聯邦公園地下停車場","三重區","新北市三重區中華路125號B1","公有停車場","N","32A","2"
"永福國小地下停車場","三重區","新北市三重區永福街66號B1","公有停車場","N","32A","2"
"正義地下停車場","三重區","新北市三重區雙園街1號B1","公有停車場","N","32A","2"
"龍門公園地下停車場","三重區","新北市三重區公園街32號 平面","公有停車場","N","32A","2"
"文中小平面停車場","三重區","新北市三重區新北大道一段159號 (對面停車場)","公有停車場","N","32A","2"
"光興國小停車場","三重區","新北市三重區正義南路62號","公有停車場","N","32A","2"
"三峽碳中和樂園停車場","三峽區","新北市三峽區中正路三段262號","公有停車場","N","80A","2"
"三峽國小停車場","三峽區","新北市三峽區中山路16號","公有停車場","N","32A","2"
"台北大學地下停車場","三峽區","新北市三峽區大學路151號","公有停車場","N","32A","2"
"土城延吉停車場","土城區","新北市土城區德峰街65號","公有停車場","N","80A","2"
"土城中州停車場","土城區","新北市土城區中州路11號","公有停車場","N","32A","2"
"土城裕生立體停車場","土城區","新北市土城區裕生路106號","公有停車場","N","80A","2"
"土城金城立體停車場","土城區","新北市土城區金城路二段266號","公有停車場","N","80A/32A","2"
"土城永豐停車場","土城區","新北市土城區立德路113號","公有停車場","N","32A","2"
"土城明德停車場","土城區","新北市土城區延吉街與永豐路交界處","公有停車場","N","32A","2"
"捷運南勢角站","中和區","新北市中和區和平街68號對面","捷運站","N","80A","2"
