年度,月,行政區域代碼,區隊,回收量（噸）
111,1,63000120,北投區隊,385.99
111,1,63000010,松山區隊,487.38
111,1,63000040,中山區隊,669.79
111,1,63000090,南港區隊,243.58
111,1,63000110,士林區隊,567.99
111,1,63000100,內湖區隊,665.02
111,1,63000020,信義區隊,480.75
111,1,63000050,中正區隊,317.63
111,1,63000070,萬華區隊,298.43
111,1,63000030,大安區隊,780.15
111,1,63000080,文山區隊,607.48
111,1,63000060,大同區隊,163.67
111,1,,其他,79.97
111,2,63000120,北投區隊,229.77
111,2,63000010,松山區隊,303.76
111,2,63000040,中山區隊,399.23
111,2,63000090,南港區隊,147.85
111,2,63000110,士林區隊,330.35
111,2,63000100,內湖區隊,374.08
111,2,63000020,信義區隊,289.01
111,2,63000050,中正區隊,193.33
111,2,63000070,萬華區隊,180.13
111,2,63000030,大安區隊,457.31
111,2,63000080,文山區隊,360.75
111,2,63000060,大同區隊,92.69
111,2,,其他,91.44
111,3,63000120,北投區隊,285.14
111,3,63000010,松山區隊,347.92
111,3,63000040,中山區隊,478.63
111,3,63000090,南港區隊,180.66
111,3,63000110,士林區隊,399.62
111,3,63000100,內湖區隊,434.96
111,3,63000020,信義區隊,354.21
111,3,63000050,中正區隊,225.01
111,3,63000070,萬華區隊,206.45
111,3,63000030,大安區隊,546.52
111,3,63000080,文山區隊,434.05
111,3,63000060,大同區隊,112.71
111,3,,其他,106.46
111,4,63000120,北投區隊,295.79
111,4,63000010,松山區隊,325.21
111,4,63000040,中山區隊,473.71
111,4,63000090,南港區隊,173.94
111,4,63000110,士林區隊,390.61
111,4,63000100,內湖區隊,450.06
111,4,63000020,信義區隊,344.33
111,4,63000050,中正區隊,212.87
111,4,63000070,萬華區隊,204.94
111,4,63000030,大安區隊,542.81
111,4,63000080,文山區隊,426.51
111,4,63000060,大同區隊,113.85
111,4,,其他,85.82
111,5,63000120,北投區隊,299.64
111,5,63000010,松山區隊,364.4
111,5,63000040,中山區隊,481.83
111,5,63000090,南港區隊,182.92
111,5,63000110,士林區隊,413.1
111,5,63000100,內湖區隊,502.13
111,5,63000020,信義區隊,361.92
111,5,63000050,中正區隊,252.14
111,5,63000070,萬華區隊,221.31
111,5,63000030,大安區隊,588.27
111,5,63000080,文山區隊,478.63
111,5,63000060,大同區隊,113.27
111,5,,其他,81.74
111,6,63000120,北投區隊,324.71
111,6,63000010,松山區隊,358.47
111,6,63000040,中山區隊,499.58
111,6,63000090,南港區隊,187.93
111,6,63000110,士林區隊,434.9
111,6,63000100,內湖區隊,501.82
111,6,63000020,信義區隊,374.75
111,6,63000050,中正區隊,245.77
111,6,63000070,萬華區隊,235.88
111,6,63000030,大安區隊,589.61
111,6,63000080,文山區隊,499.52
111,6,63000060,大同區隊,123.19
111,6,,其他,96.29
111,7,63000120,北投區隊,329.77
111,7,63000010,松山區隊,376.07
111,7,63000040,中山區隊,517.49
111,7,63000090,南港區隊,189.61
111,7,63000110,士林區隊,430.41
111,7,63000100,內湖區隊,513.52
111,7,63000020,信義區隊,389.78
111,7,63000050,中正區隊,254.82
111,7,63000070,萬華區隊,240.83
111,7,63000030,大安區隊,620.39
