核准編號,團體名稱,電話,行政區,臺北市核准地點,備註,經度,緯度
1,台北市自閉症家長協會,(02)25953937,大同區,民樂街31號對面,,121.51097,25.0545
2,台北市自閉症家長協會,(02)25953937,大安區,四維路52巷10號旁,,121.54708,25.03507
3,台北市自閉症家長協會,(02)25953937,松山區,興安街與民生東路3段130巷口（公佈欄旁）,,121.54653,25.0561
4,台北市自閉症家長協會,(02)25953937,中正區,泉州街127號,,121.52197,25.0965
5,台北市自閉症家長協會,(02)25953937,大安區,和平東路1段溫州街口,,121.53342,25.02609
6,台北市自閉症家長協會,(02)25953937,信義區,中坡北路與松隆路旁（公園）人行道,,121.5796,25.04813
7,台北市自閉症家長協會,(02)25953937,中正區,寧波西街60號前,,121.5173,25.03051
8,台北市自閉症家長協會,(02)25953937,大安區,復興南路2段151巷30弄與171巷交叉口,,121.54535,25.02803
9,台北市自閉症家長協會,(02)25953937,大安區,復興南路2段193巷16弄口,,121.54446,25.02648
10,台北市自閉症家長協會,(02)25953937,中山區,興安街103號前人行道,,121.5437,25.05609
11,台北市自閉症家長協會,(02)25953937,中山區,長春路339巷口,,121.54483,25.05459
12,台北市自閉症家長協會,(02)25953937,中山區,民生東路3段與遼寧街口變電箱旁,,121.54223,25.05764
13,台北市自閉症家長協會,(02)25953937,中正區,和平西路2段55號旁（建國中學圍牆邊）,,121.5121,25.02917
14,台北市自閉症家長協會,(02)25953937,北投區,中和街47號對面,,121.50247,25.13841
15,台北市自閉症家長協會,(02)25953937,大安區,仁愛路4段300巷35弄2號對面,,121.55465,25.03539
16,台北市自閉症家長協會,(02)25953937,大安區,大安路1段193-2號旁與四維路44巷口,,121.54612,25.03558
17,台北市自閉症家長協會,(02)25953937,信義區,信義路6段76巷2弄47號對面,,121.55465,25.03539
18,台北市自閉症家長協會,(02)25953937,松山區,撫遠街與新東街30巷口,,121.54612,25.03558
19,台北市自閉症家長協會,(02)25953937,中正區,和平西路1段150號,,121.51545,25.02728
20,台北市自閉症家長協會,(02)25953937,文山區,景福街223巷口(學校圍牆邊),,121.53834,24.99426
21,台北市自閉症家長協會,(02)25953937,松山區,慶城街16號與南京東路3段303巷7弄對面(公園),,121.54582,25.05294
22,台北市自閉症家長協會,(02)25953937,信義區,忠孝東路5段372巷28弄3號對面(圍牆邊),,121.57395,25.03898
23,台北市自閉症家長協會,(02)25953937,信義區,和平東路3段341巷7號對面公園人行道,,121.55697,25.02098
24,台北市自閉症家長協會,(02)25953937,內湖區,陽光街68巷口(陽光公園旁),,121.58357,25.07587
25,台北市自閉症家長協會,(02)25953937,大安區,和平東路3段1巷成功市場對面,,121.54673,25.02625
26,台北市自閉症家長協會,(02)25953937,信義區,松山路與虎林街55巷（銀行邊）人行道,,121.57744,25.04735
27,台北市自閉症家長協會,(02)25953937,中山區,新生北路3段82之5號前,,121.52741,25.06733
28,台北市自閉症家長協會,(02)25953937,大安區,和平東路2段118巷(公園),,121.54283,25.02332
29,台北市自閉症家長協會,(02)25953937,中山區,遼寧街128巷與龍江路交叉口,,121.54069,25.05341
