序號,廠商,名稱,地址,縣市,縣市代碼
1,中華汽車,環南市場西一門超級充電站,臺北市萬華區環河南路二段245號,臺北市,63000
2,中華汽車,家樂福三民店超級充電站,臺北市松山區三民路160號,臺北市,63000
3,中華汽車,家樂福內湖超級充電站,臺北市內湖區民善街88號,臺北市,63000
4,中華汽車,家樂福重慶超級充電站,臺北市大同區重慶北路二段171號,臺北市,63000
5,中華汽車,順益汽車內湖所超級充電站,臺北市內湖區民權東路六段13之15號,臺北市,63000
6,中華汽車,中華汽車濱江大樓超級充電站,臺北市中山區濱江街309號,臺北市,63000
7,中華汽車,萬華和平西專賣店超級充電站,臺北市萬華區和平西路二段149號,臺北市,63000
8,中油,中崙站,台北市中山區八德路二段214號,臺北市,63000
9,中油,內湖站,台北市內湖區民權東路六段50號,臺北市,63000
10,中油,信義路站,台北市大安區信義路四段374號,臺北市,63000
11,中油,民生東路站,台北市松山區三民路126號,臺北市,63000
12,中油,文林路站,台北市士林區文林路100號,臺北市,63000
