序號,廠商,名稱,地址,縣市,縣市代碼
1,Gogoro Network,臺北市公有士東市場站,台北市士林區士東路100號,臺北市,63000
2,Gogoro Network,士林運動中心站,台北市士林區士商路1號,臺北市,63000
3,Gogoro Network,台亞台北士林加油站,台北市士林區中山北路五段570號旁,臺北市,63000
4,Gogoro Network,全聯士林中正店站,台北市士林區中正路115號,臺北市,63000
5,Gogoro Network,社子國小地下停車場B1F站,台北市士林區延平北路6段308號,臺北市,63000
6,Gogoro Network,延平北路5段臨時平面停車場站,台北市士林區延平北路五段1巷,臺北市,63000
7,Gogoro Network,Gogoro 天母忠誠門市站,台北市士林區忠誠路一段101號,臺北市,63000
8,Gogoro Network,天母大葉高島屋百貨公司站,台北市士林區忠誠路二段55號,臺北市,63000
9,Gogoro Network,Gogoro 士林承德服務中心站,台北市士林區承德路4段340號,臺北市,63000
10,Gogoro Network,宏佳騰士林承德店站,台北市士林區承德路四段83號,臺北市,63000
11,Gogoro Network,台北市格致路站,台北市士林區格致路59號,臺北市,63000
12,Gogoro Network,台灣聯通士林官邸場站,台北市士林區福林路100巷11弄交叉口,臺北市,63000
13,Gogoro Network,台北捷運芝山站,台北市士林區福國路70號捷運站1號出口,臺北市,63000
14,Gogoro Network,臺北市樹德公園站,台北市大同區大龍街91巷7號對面,臺北市,63000
15,Gogoro Network,啟聰學校地下停車場B1F站,台北市大同區延平北路四段205號,臺北市,63000
16,Gogoro Network,建成公園地下停車場B1F站,台北市大同區承德路二段31號,臺北市,63000
17,Gogoro Network,建成國中地下停車場B1F站,台北市大同區長安西路37號之1,臺北市,63000
18,Gogoro Network,第一銀行大稻埕分行站,台北市大同區迪化街一段63號,臺北市,63000
19,Gogoro Network,第一銀行重慶北路站,台北市大同區重慶北路二段180號,臺北市,63000
20,Gogoro Network,臺北市四維廣場停車場站,台北市大安區四維路78號對面,臺北市,63000
21,Gogoro Network,Gogoro 師大和平店站,台北市大安區和平東路一段129號,臺北市,63000
22,Gogoro Network,台北捷運六張犁站,台北市大安區和平東路三段168號,臺北市,63000
23,Gogoro Network,國立臺北教育大學站,台北市大安區臥龍街20之1號旁,臺北市,63000
24,Gogoro Network,勝利加油站,台北市大安區建國南路二段75-1號,臺北市,63000
25,Gogoro Network,更生保護會基隆路站,台北市大安區基隆路二段166-1號旁,臺北市,63000
26,Gogoro Network,國立臺灣科技大學站,台北市大安區基隆路四段43號,臺北市,63000
27,Gogoro Network,7-ELEVEN 華電店站,台北市大安區通化街177號,臺北市,63000
28,Gogoro Network,7-ELEVEN 誠安店站,台北市大安區敦化南路1段247巷12號,臺北市,63000
