序號,廠商,名稱,地址,縣市,縣市代碼
1,Tesla,台北花博公園超級充電站,台北市中山區玉門街1號,臺北市,63000
2,Tesla,台北內湖服務體驗中心超級充電站,台北市內湖區舊宗路二段1號,臺北市,63000
3,Tesla,台北南港展覽館2館超級充電站,台北市南港區經貿二路2號 B1F 165-170車位,臺北市,63000
4,Tesla,北投雅樂軒超級充電站,台北市北投區大業路300巷1號 B2,臺北市,63000
5,Tesla,臺灣大學超級充電站,台北市大安區羅斯福路四段1號,臺北市,63000
6,Tesla,福林超級充電站,台北市士林區中山北路五段465號旁,臺北市,63000
7,Tesla,松山超級充電站,台北市信義區市民大道六段246號,臺北市,63000
8,Tesla,信義交易廣場充電站,台北市信義區松仁路101號B3樓,臺北市,63000
9,Tesla,大葉高島屋充電站,台北市士林區忠誠路二段55號B2,臺北市,63000
10,Tesla,台北萬華家樂福桂林店超級充電站,台北市萬華區桂林路1號 7F,臺北市,63000
11,Tesla,台北大直NOKE忠泰樂生活超級充電站,台北市中山區樂群三路200號 B2,臺北市,63000
12,Tesla,臺大體育館超級充電站,台北市大安區羅斯福路四段1號 B2,臺北市,63000
13,Tesla,台北政治大學公企中心超級充電站,台北市大安區金華街187號 B2,臺北市,63000
14,Tesla,台北富邦超級充電站,台北市大安區仁愛路四段169號B3,臺北市,63000
15,華城電能,台北大倉久和大飯站,台北市中山區南京東路?段9號,臺北市,63000
16,華城電能,台北新光南軟站,台北市南港區經貿二路196號,臺北市,63000
17,華城電能,台日交流協會,台北市松山區慶城街28號,臺北市,63000
18,華城電能,台北內湖亞太經貿廣場A棟站,台北市內湖區舊宗路二段187號 B2,臺北市,63000
19,華城電能,台北花園大酒店,台北市中正區中華路二段1號,臺北市,63000
20,華城電能,EVALUE內湖旗艦站,臺北市內湖區民權東路6段186-8號,臺北市,63000
21,華城電能,維多麗亞酒店,台北市中山區敬業四路168號,臺北市,63000
22,華城電能,台糖台北會館,台北市中正區中華路?段39號1至21樓及B1至B4,臺北市,63000
23,華城電能,燦坤內湖總部站,台北市內湖區堤頂大道一段331號 1F&B2,臺北市,63000
24,華城電能,雀客藏居_台北陽明山,台北市士林區格致路237號,臺北市,63000
25,華城電能,台北市信義之星,臺北市信義區松智路14號B2,臺北市,63000
26,華城電能,台北金融大樓股份有限公司(101購物中心),台北市信義區市府路45號B3、B4,臺北市,63000
27,華城電能,順益汽車_濱江營業所,台北市中山區濱江街309號,臺北市,63000
28,華城電能,台北企業總部園區,台北市內湖區南京東路六段370號W棟B1停車場,臺北市,63000
29,華城電能,台北松山運動中心,台北市松山區敦化北路1號,臺北市,63000
30,華城電能,台北市文山運動中心,台北市文山區興隆路三段222號B1停車場,臺北市,63000
31,華城電能,台北中崙第一停車場,台北市中山區八德路二段210巷10號,臺北市,63000
32,華城電能,台北世貿公園地下停車場,台北市南港經貿二路88巷19號,臺北市,63000
33,華城電能,台北萬華車站地下停車場,台北市萬華區西園路一段306巷1號,臺北市,63000
34,華城電能,國立台灣大學_新南地下停車場,台北市大安區新生南路三段_新南停車場B1,臺北市,63000
35,華城電能,國立台灣大學_芳蘭第一平面停車場,106台北市大安區芳蘭路71號,臺北市,63000
36,華城電能,國立台灣大學_水源校區臨時停車場,100台北市中正區思源街18號,臺北市,63000
37,華城電能,"	國立台灣大學_生醫工程館地下停車場",台北市大安區芳蘭路49號B2,臺北市,63000
38,華城電能,台北興中立體停車場,台北市南港區興中路44巷1號,臺北市,63000
39,華城電能,"	台北洲子立體停車場",台北市內湖區瑞光路513巷22弄2號,臺北市,63000
40,華城電能,台北東湖國小地下停車場,台北市內湖區東湖路115號,臺北市,63000
41,華城電能,台北大豐公園地下停車場,台北市北投區大興街145號B1,臺北市,63000
42,華城電能,台北立農公園地下停車場,台北市北投區承德路七段372號B1,臺北市,63000
43,華城電能,台北南港國小地下停車場,台北市南港區東興街59號,臺北市,63000
44,華城電能,台北玉成公園地下停車場,台北市南港區成福路116號,臺北市,63000
45,華城電能,歐特儀_捷運木柵站轉乘停車場,台北市文山區木柵路四段135號B1樓,臺北市,63000
46,華城電能,聯合醫院_台北仁愛院區,台北市大安區仁愛路四段10號,臺北市,63000
47,華城電能,聯合醫院_台北松德院區,台北市信義區松德路309號,臺北市,63000
48,華城電能,聯合醫院_台北婦幼院區,台北市中正區福州街12號,臺北市,63000
49,華城電能,聯合醫院_台北陽明院區,台北市士林區雨聲街105號,臺北市,63000
