月份,網站瀏覽人次數量,平均每日網站瀏覽人次數量,會員總人數數量,出貨結案件數數量,交易金額數量,參與機關學校總數量-臺北市所屬,參與機關學校數量-其他
1,825746,39321,128827,2047,16456459,398,3915
2,590783,21099,129639,2334,15365383,398,3917
3,2957204,95394,130574,4727,30137305,398,3923
4,521718,17391,131572,4023,20882765,398,3926
5,920796,29703,132353,4603,24859557,398,3931
6,914120,30471,132926,3710,24851927,398,3935
7,864991,27903,133629,2975,14477519,398,3939
8,889022,28678,134342,3382,25777532,398,3941
9,898811,29960,135001,3191,22197025,398,3941
10,977489,31532,135677,3618,20752561,398,4019
11,1119533,37318,136370,3729,17083068,398,4024
12,1051184,33909,137011,2964,17037208,398,4107
